date,open,high,low,close,volume
2024-01-01,2613.825616379288,1532.090981595603,2067.189812732893,1865.863156552999,97283621
2024-01-02,1224.548392887142,2104.062457893162,1769.157945898946,1163.322875071351,97848254
2024-01-03,2038.881083218727,2743.680973629764,1726.746074028241,1473.061626244285,38190182
2024-01-04,2463.485940952679,2859.978940625808,2715.56608751772,2149.332574168552,74094994
2024-01-05,2436.992907834517,2138.89173359979,1294.659270733509,2192.390399189476,39452879
2024-01-06,1815.565738400237,1067.008708178286,1956.192047060017,2052.01131672469,88970775
2024-01-07,1987.03567157255,1466.10329214555,1420.227856253957,2061.409958287627,60514691
2024-01-08,2183.7497018708,2732.917425546046,1141.276880595869,1302.800525184136,92235069
2024-01-09,2751.639377874921,2045.745075148011,2512.105331891397,2676.191389690168,79351838
2024-01-10,1950.817331575804,1531.632142296823,1807.635983882004,2019.317162040101,58190122
2024-01-11,2247.680249221345,2623.730048281644,2039.2569938942,2733.525873327051,56233675
2024-01-12,1078.957774458462,2624.875656568278,2744.077117456608,1435.062412284724,22555844
2024-01-13,2996.950124897382,2884.951071652069,1523.434574329915,1208.490987161603,59459917
2024-01-14,1608.349116803665,1098.804205776257,2767.31788247511,2682.107987848301,2341663
2024-01-15,1398.92339542475,1733.680175615308,1448.858731455975,2517.278029443911,93231377
2024-01-16,1001.050047594731,2172.574951163513,2049.788695895141,2321.012907851537,8933166
2024-01-17,1737.023069653274,1077.103635643236,2518.659706345863,2552.87139738477,43441754
2024-01-18,2104.298179879926,2545.991641768858,2834.587588184931,2739.183496350287,93565140
2024-01-19,1451.323949109785,1271.739694512976,1674.518903876916,1634.665441821163,96455555
2024-01-20,1870.77211437747,1950.378302579015,2541.585136638133,2660.807195221385,24550944
2024-01-21,1023.111588132058,1542.64630703222,1019.371202034509,1882.590947370959,95294658
2024-01-22,2384.010546014561,1686.333361808235,1954.418971928031,1963.746886872686,15692252
2024-01-23,1637.967580210635,2437.922169201104,2115.377451239895,1805.543189179963,60547451
2024-01-24,1639.91673035711,2559.734715771526,2233.582360056875,2937.789095654766,73139619
2024-01-25,1235.831198866618,2212.491641269231,2814.459538162205,1725.016236957361,95417975
2024-01-26,1008.732406005134,2231.863878166275,1184.954917324513,2453.357191793345,84167159
2024-01-27,1751.989702024707,1600.165259784797,1918.248412879934,1699.861084051979,31260367
2024-01-28,2184.551247551858,1197.834204284819,1745.31844935978,1743.874229186516,79383048
2024-01-29,2984.482816243483,2069.981669014051,2925.203846147003,1473.563201697827,31229207
2024-01-30,1678.201028256094,2252.557087269437,2452.894266758339,2199.992646763071,60810522
2024-01-31,1305.339392746331,2520.575704511178,1463.036766140194,1042.205521596338,93648262
2024-02-01,1662.150758728662,1888.239077883853,2564.732748709656,1060.820117322416,17228849
2024-02-02,1097.36519936522,1644.830190958422,2823.725423492601,2393.747549801322,49561414
2024-02-03,2584.147925231616,2123.935064353448,1011.109546393483,1889.747260649902,29596463
2024-02-04,1332.418038267334,1036.203473445184,2816.960803675342,1520.540741209182,49727577
2024-02-05,2559.376355173507,1642.035499105479,1936.264757036676,1625.097982217173,89430382
2024-02-06,1283.181475176156,1757.225676147722,2073.942020134547,2531.113816828804,62435976
2024-02-07,1125.227076361273,1488.159380174459,1209.1512068823,1277.543795865078,45623259
2024-02-08,2137.966336160795,2603.964081832427,1103.599906264762,2910.9620726944,23058508
2024-02-09,1789.399829341882,1468.465753661118,2172.245748800001,1050.993955405664,14253142
2024-02-10,2821.504736680376,2683.006315304232,1121.47847646126,1930.661831618233,59929764
2024-02-11,2141.38320629791,2868.792594327878,2012.355927693035,2662.447496932116,20357930
2024-02-12,2740.209271011739,1239.137078356367,2390.807468132638,2439.83034561265,94869109
2024-02-13,1563.717439311745,2241.142685358375,2967.044327435866,2693.297223598704,61052815
2024-02-14,2491.692433392194,2788.439985781662,2847.929965177601,2271.298997351433,49567213
2024-02-15,2019.683726954007,2965.474093141584,1361.004757702767,2022.888033375322,74819705
2024-02-16,1464.286459517282,2405.001827003002,2414.488633854372,1106.662893029156,35366295
2024-02-17,2733.673690937861,1987.651394626174,1595.550229824231,2406.433805219695,1589876
2024-02-18,2582.168147432257,1935.721589043323,1839.49648886052,2507.354202614151,21196969
2024-02-19,1104.457349476498,1190.141468736401,2604.562554117948,1817.998883557823,45732860
2024-02-20,1136.571100548857,1536.942971118665,1309.345567182064,2877.964504137683,5699772
2024-02-21,1075.257732845047,1876.804044802231,2034.289840265127,1010.362506008464,46394433
2024-02-22,1025.699122539768,2608.173331849139,2911.993937292114,1737.039788819442,38542917
2024-02-23,2247.410281350985,1137.799353291223,1099.640396714116,2964.105487731434,77494526
2024-02-24,2194.707178071857,2917.734521133024,1964.975467736938,1613.852151917816,19579819
2024-02-25,1237.327165223356,2920.852913972523,1062.769118277475,2055.6013777743,94294364
2024-02-26,1223.588300481771,2666.878600347237,1279.205880153913,1457.426769638487,87038373
2024-02-27,1895.989009240283,1433.707411746535,2802.888497729274,2556.569238492281,32536161
2024-02-28,1950.260984672362,1053.737936733626,1991.548905988184,2833.688754028165,87112460
2024-02-29,2931.993541742501,1764.068765100081,2003.220688805659,2831.611456912727,96134027
2024-03-01,1977.968135419963,2284.205654620556,1947.756110374603,1367.254840149738,90156358
2024-03-02,2589.80191127643,1683.964775208196,2254.51686895463,2033.601557282097,10022443
2024-03-03,2730.5623991426,1041.556508135994,1982.453648977556,1871.727340086518,66283765
2024-03-04,1867.203883440692,1907.718844912404,2549.141580717215,2376.8517552939,60679273
2024-03-05,1901.438103254565,1582.49033613055,2261.99692734159,2570.783894198998,30108492
2024-03-06,2218.135439146,2652.36093017419,2373.181084765764,1812.353220004954,67596257
2024-03-07,2930.940916878653,1023.904149148904,2868.502296606471,1655.362766431172,56154614
2024-03-08,2820.34175483319,1285.512986651059,1858.513474228293,2501.93013484359,86814941
2024-03-09,2895.76497862461,1002.147953110173,2158.973169836549,1653.44584580163,25191402
2024-03-10,1341.491090783489,2978.519960455082,1532.945746378343,2752.648184341055,34256141
2024-03-11,2471.873251932841,2768.583835823407,2692.119730890137,2376.724364001959,53916713
2024-03-12,1865.473393859617,1120.226186948642,1783.594013065463,1929.606549836974,37357138
2024-03-13,2964.262955653622,1773.32454519305,1809.115774547976,2570.330215199695,95458692
2024-03-14,2983.967591637189,2278.708707058568,2242.389032219425,2282.493424406422,47935091
2024-03-15,2030.983832167864,2707.177186456968,1152.200960689651,1718.810275996772,44604589
2024-03-16,1652.269096324486,2044.928419138007,1550.062422063978,1956.814003610953,34814883
2024-03-17,2230.488976045528,2439.255062943093,2229.256413290533,1035.998138348478,11826113
2024-03-18,1385.023633352678,1572.084458427938,2197.736965267498,2932.221691295462,74855439
2024-03-19,1569.321371649321,2635.224342417829,1845.29816671503,2160.999249452978,35956790
2024-03-20,2542.743933707007,1485.992933527902,1515.014106882014,2881.682890530978,22473950
2024-03-21,1898.804678710632,2451.712121045918,2235.967752069715,1727.339800052741,32785749
2024-03-22,1706.266659172645,1493.185484081369,2047.396866216322,1221.415741746675,15538002
2024-03-23,2647.09265517409,2481.052730919503,1513.498296082304,2104.058402370963,83157725
2024-03-24,2150.555033356991,2690.263225640948,1394.574033608083,1548.717793987716,52511901
